number;valid_to;call_sign;category;transmitter_power;name_type_station;emission;input_frequency;output_frequency;station_location
DC.WML.5101.422.2023.2;2033-01-26;SR8AP;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.1;438.7;Rzeszów
DC.WML.5101.462.2023.2;2028-01-27;SR4DM;Kategoria5;15;CyfrowyPrzemiennik;"";430.7;438.3;Podleœna
DC.WML.5101.372.2023.4;2028-02-02;SR3KA;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.775;439.375;Kaszczor
DC.WML.5101.601.2023.2;2028-02-23;SR9ZEA;Kategoria5;15;PrzemiennikFMDV;"";430.8;438.4;Syrynia
DC.WML.5101.603.2023.2;2028-02-03;SR4UVE;Kategoria5;15;PrzemiennikFMDV;"";431;438.6;Pas³êk
DC.WML.5101.669.2023.2;2028-02-08;SR9REY;Kategoria5;15;PrzemiennikFMDV;"";431.31;438.91;Krzeszowice
DC.WML.5101.697.2023.2;2028-02-09;SR4DX;Kategoria5;15;PrzemiennikFMDV;"";431.9;439.5;Pas³êk
DC.WML.5101.704.2023.3;2028-02-10;SR7SAN;Kategoria5;15;CyfrowyPrzemiennik;"";431.4625;439.0625;Koprzywnica
DC.WML.5101.1093.2023.2;2028-03-06;SR6ZEN;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.425;439.025;Opole
DC.WML.5101.1096.2023.2;2028-03-06;SR3GW;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.35;438.95;Gorzów Wielkopolski
DC.WML.5101.1160.2023.2;2028-03-14;SR7DVK;Kategoria5;15;PrzemiennikFMDV;"";430.725;438.325;Kutno
DC.WML.5101.1161.2023.2;2028-03-14;SR2UVV;Kategoria5;15;CyfrowyPrzemiennik;"";431.7125;439.3125;Jab³owo Pa³uckie
DC.WML.5101.1162.2023.2;2028-03-14;SR2DMR;Kategoria5;15;CyfrowyPrzemiennik;"";431.9625, 431.7625;439.5625, 439.3625;Jab³owo  Pa³uckie
DC.WML.5101.1163.2023.2;2028-03-14;SR2JJ;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.5625;439.1625;Jab³owo Pa³uckie
DC.WML.5101.1253.2023.2;2028-03-13;SR9APR;Kategoria5;15;PrzekaznikAPRS;"";144.8;144.8;Wieliczka
DC.WML.5101.1264.2023.2;2028-03-14;SR6GA;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.3;438.9;Szczyt Góry Wielka Sowa
DC.WML.5101.1265.2023.3;2028-03-14;SR6V;Kategoria5;15;AnalogowyPrzemiennikFM;"";145.1625;145.7625;Szczyt Góry Wielka Sowa
DC.WML.5101.1439.2023.2;2028-03-21;SR1WXN;Kategoria5;15;PrzekaznikAPRS;"";144.8;144.8;Chojna
DC.WML.5101.1441.2023.2;2028-03-21;SR1APRE;Kategoria5;5;PrzekaznikAPRS;"";144.8;144.8;Polanów
DC.WML.5101.1501.2023.2;2028-03-23;SR2SWR;Kategoria5;10;AnalogowyPrzemiennikFM;"";431.175;438.775;Toruñ
DC.WML.5101.1516.2023.2;2028-03-24;SR5SQ;Kategoria5;15;PrzemiennikFMDV;"";431.3875;438.9875;Krze Du¿e
DC.WML.5101.1537.2023.3;2028-03-27;SR9VJK;Kategoria5;15;CyfrowyPrzemiennik;"";430.7125;438.3125;Muszyna - Jaworzyna Krynicka
DC.WML.5101.1721.2023.2;2028-04-03;SR5DMRC;Kategoria5;15;CyfrowyPrzemiennik;"";145.0375;145.6375;Koziczyn
DC.WML.5101.1771.2023.2;2028-04-06;SR5NLK;Kategoria5;15;StacjaPogodowaAPRS, PrzekaznikAPRS;"";432.5, 144.8;432.5, 144.8;Jab³onna
DC.WML.5101.1844.2023.2;2028-04-13;SR7EOP;Kategoria5;15;PrzekaznikAPRS;"";144.95, 144.8;144.95, 144.8;Opoczno
DC.WML.5101.1916.2023.2;2028-04-17;SR1ZW;Kategoria5;15;PrzemiennikFMDV;"";431.1375;438.8375;Œwinoujœcie
DC.WML.5101.2082.2023.2;2028-04-25;SR1WU;Kategoria5;15;PrzemiennikFMDV;"";431.125;438.725;Œwinoujœcie
DC.WML.5101.2088.2023.2;2028-04-25;SR0WW;Kategoria5;15;CyfrowyPrzemiennik;"";431.225;438.825;Wolin
DC.WML.5101.2150.2023.2;2028-03-21;SR1DMR;Kategoria5;15;CyfrowyPrzemiennik;"";145.15;145.75;Polanów
DC.WML.5101.2380.2023.2;2028-05-11;SR7TM;Kategoria5;15;PrzemiennikFMDV;"";431.075;438.675;Tomaszów Mazowiecki
DC.WML.5101.2427.2023.2;2028-05-12;SR1W;Kategoria5;15;PrzemiennikFMDV;"";145.0125;145.6125;Œwinoujœcie
DC.WML.5101.2545.2023.2;2028-05-18;SR5D;Kategoria5;15;CyfrowyPrzemiennik;"";145.1;145.7;Warszawa
DC.WML.5101.2546.2023.2;2028-05-18;SR4MO;Kategoria5;15;AnalogowyPrzemiennikFM;"";430.85;438.45;Mor¹g
DC.WML.5101.2665.2023.2;2028-05-29;SR2GDA;Kategoria5;14;AnalogowyPrzemiennikFM;"";431.75;439.35;Rekcin
DC.WML.5101.2804.2023.2;2028-05-31;SR9RMF;Kategoria5;15;Radiolatarnia;"";70.06;70.06;Góra Przehyba
DC.WML.5101.3215.2023.3;2028-06-22;SR4L;Kategoria5;15;PrzemiennikFMDV;"";430.5;438.1;£om¿a
DC.WML.5101.3552.2023.2;2028-08-20;SR4BI;Kategoria5;15;PrzekaznikAPRS, CyfrowyPrzemiennik;"";432.5, 430.8625;432.5, 438.4625;Juchnowiec Górny
DC.WML.5101.3741.2023.2;2027-12-13;SR9RT;Kategoria5;15;AnalogowyPrzemiennikFM;"";29.56, 51.39, 431.0375, 145.0375;29.66, 51.99, 438.6375, 145.6375;Mordarka
DC.WML.5101.4023.2023.2;2028-07-28;SR9SIE;Kategoria5;15;AnalogowyPrzemiennikFM;"";70.27;70.27;Siemianowice Œl¹skie
DC.WML.5101.4024.2023.2;2028-07-28;SR5DRK;Kategoria5;15;PrzekaznikAPRS;"";432.5, 144.8;432.5, 144.8;"Kos³owiec - Obiekt RTCN ""Emitel"""
DC.WML.5101.4041.2023.2;2033-08-01;SR6OA;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.275;438.875;O³awa
DC.WML.5101.4056.2023.2;2028-08-02;SR3LW;Kategoria5;15;PrzekaznikAPRS, AnalogowyPrzemiennikFM;"";144.8, 431.525;144.8, 439.125;Józefowo
DC.WML.5101.4057.2023.2;2028-08-02;SR5UVR;Kategoria5;15;PrzemiennikFMDV;"";430.925;438.525;Radom
DC.WML.5101.4068.2023.3;2028-08-04;SR9JP;Kategoria5;15;StacjaPogodowa;"";144.95;144.95;Czêstochowa
DC.WML.5101.4069.2023.2;2028-08-04;SR6BR;Kategoria5;15;CyfrowyPrzemiennik;"";438.2;438.2;Brzeg
DC.WML.5101.4070.2023.2;2028-08-04;SR6MI;Kategoria5;15;CyfrowyPrzekaznik, PrzemiennikFMDV, PrzekaznikAPRS, StacjaPogodowa;"";144.875, 438.15, 433.75, 430.55, 431.7375, 432.5, 145.15, 144.95, 144.8;144.875, 438.15, 433.75, 430.55, 439.3375, 432.5, 145.15, 144.95, 144.8;Mi³kowice
DC.WML.5101.4091.2023.2;2028-08-07;SR2EL;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.95;439.55;Elbl¹g
DC.WML.5101.4147.2023.2;2028-08-09;SR7QDX;Kategoria5;15;PrzekaznikAPRS;"";144.8;144.8;Tomaszów Mazowiecki
DC.WML.5101.4490.2023.2;2028-09-01;SR3NKI;Kategoria5;15;PrzekaznikAPRS;"";144.8;144.8;Leszno
DC.WML.5101.4491.2023.2;2028-09-01;SR3UVL;Kategoria5;15;CyfrowyPrzemiennik;"";431.6375;439.2375;Leszno
DC.WML.5101.4492.2023.4;2028-09-11;SR9JG;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.8625;439.4625;Wancerzów
DC.WML.5101.4493.2023.2;2028-09-01;SR6WXJG;Kategoria5;15;StacjaPogodowa;"";144.95;144.95;Jelenia Góra
DC.WML.5101.4494.2023.2;2028-09-01;SR6AA;Kategoria5;15;PrzemiennikFMDV, CyfrowyPrzekaznik, PrzekaznikAPRS, StacjaPogodowa;"";431.8, 438.05, 433.625, 430.45, 432.5, 144.95, 144.8;439.4, 438.05, 433.625, 430.45, 432.5, 144.95, 144.8;Legnica
DC.WML.5101.4518.2023.2;2028-09-01;SR2OKZ;Kategoria5;15;CyfrowyPrzekaznik;"";145.45;145.45;Gdynia
DC.WML.5101.4558.2023.2;2028-09-06;SR3Q;Kategoria5;15;PrzekaznikAPRS;"";434.855, 432.5, 144.8;434.855, 432.5, 144.8;Nekla
DC.WML.5101.4666.2023.2;2028-09-14;SR3SN;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.5;439.1;Roz³ogi
DC.WML.5101.4671.2023.2;2029-01-18;SR9RSR;Kategoria5;15;PrzemiennikFMDV;"";430.7375;438.3375;Rybnik
DC.WML.5101.4687.2023.2;2028-09-15;SR4OEX;Kategoria5;15;AnalogowyPrzemiennikFM;"";430.825, 145.0875;438.425, 145.6875;Olecko
DC.WML.5101.4688.2023.2;2028-09-15;SR4FSK;Kategoria5;15;CyfrowyPrzemiennik;"";431.925;439.525;Grajewo
DC.WML.5101.4786.2023.2;2028-09-22;SR3ZF;Kategoria5;15;AnalogowyPrzemiennikFM;"";1270.5;1298.5;Zielona Góra
